case_id,deliktart,tatmittel,tatort_stadt,tatzeit,geraet_typ,mobilfunk_provider,cell_id,ip_adresse,schadenshoehe_eur,anzahl_verdaechtige,vorstrafen_bekannt,kommunikation_events,digitale_spuren,gps_daten_vorhanden,video_cctv,osint_hinweise,risiko_klasse
BW-2025-00037,Drogenhandel,keines,Ulm,2025-04-19 15:00:00,Desktop PC,1&1,93579,81.253.224.98,0.0,1,0,49,1,1,1,0,niedrig
BW-2025-00038,Körperverletzung,Fahrzeug,Pforzheim,2025-07-15 01:00:00,Tablet,Telekom,80798,31.160.188.203,10679.72,3,0,8,0,1,1,1,mittel
BW-2025-00039,Einbruchdiebstahl,Fahrzeug,Ulm,2025-02-13 20:00:00,Android Smartphone,Vodafone,64496,26.240.165.92,0.0,2,1,13,1,1,1,1,mittel
BW-2025-00040,Sachbeschädigung,Messer,Stuttgart,2025-11-22 14:00:00,Desktop PC,1&1,64921,148.200.210.171,0.0,3,1,47,0,1,1,1,mittel
BW-2025-00041,Raub,keines,Heidelberg,2025-11-28 12:00:00,Laptop,1&1,31632,130.166.225.124,0.0,1,2,8,0,1,1,1,mittel
BW-2025-00042,Betrug,Messer,Stuttgart,2025-04-03 15:00:00,iPhone,1&1,59689,94.205.98.104,7697.37,2,2,13,1,0,0,1,mittel
BW-2025-00043,Körperverletzung,Phishing-Mail,Freiburg,2025-10-15 18:00:00,Tablet,O2,80702,24.85.123.97,4169.47,2,1,22,1,0,1,0,mittel
BW-2025-00044,Raub,Laptop,Stuttgart,2025-05-17 02:00:00,iPhone,Vodafone,72070,182.97.167.177,5348.74,2,3,7,0,0,0,0,mittel
BW-2025-00045,Raub,keines,Pforzheim,2025-03-20 04:00:00,Laptop,Vodafone,50888,158.103.106.2,4318.83,1,0,43,0,1,0,0,niedrig
BW-2025-00046,Sachbeschädigung,Messer,Heidelberg,2025-03-11 13:00:00,iPhone,Vodafone,79827,120.170.46.104,3786.75,1,2,42,1,0,0,1,mittel
BW-2025-00047,Drogenhandel,Laptop,Freiburg,2025-12-01 15:00:00,iPhone,1&1,30052,122.124.21.234,0.0,2,1,11,0,1,1,1,niedrig
BW-2025-00048,Cybercrime,keines,Heilbronn,2025-08-09 00:00:00,Tablet,O2,41963,203.31.54.191,7335.19,2,2,29,0,0,1,1,mittel
BW-2025-00049,Sachbeschädigung,Phishing-Mail,Stuttgart,2025-05-05 03:00:00,Tablet,O2,54608,82.151.178.201,0.0,1,0,38,1,0,1,1,niedrig
BW-2025-00050,Cybercrime,Smartphone,Heidelberg,2025-10-05 10:00:00,iPhone,Vodafone,68743,213.253.166.19,2653.04,2,3,1,1,0,1,1,mittel
BW-2025-00051,Diebstahl,Online-Plattform,Heidelberg,2025-07-29 00:00:00,Tablet,Vodafone,82140,95.174.189.27,1809.04,4,0,22,1,1,1,1,mittel
BW-2025-00052,Körperverletzung,Online-Plattform,Pforzheim,2025-03-24 08:00:00,Laptop,Vodafone,35105,66.100.251.218,0.0,3,0,47,0,1,0,0,niedrig
BW-2025-00053,Körperverletzung,Online-Plattform,Pforzheim,2025-07-22 05:00:00,iPhone,Vodafone,11854,192.64.179.14,0.0,2,4,34,0,1,0,1,mittel
BW-2025-00054,Einbruchdiebstahl,Online-Plattform,Stuttgart,2025-03-28 04:00:00,iPhone,O2,71524,133.141.3.170,2441.4,2,3,28,1,0,0,1,mittel
BW-2025-00055,Drogenhandel,Brecheisen,Stuttgart,2025-03-19 21:00:00,Laptop,1&1,85631,172.35.90.140,7705.07,1,1,43,0,1,1,0,mittel
BW-2025-00056,Betrug,Brecheisen,Mannheim,2025-02-28 03:00:00,Desktop PC,O2,78494,108.96.116.89,6195.49,2,2,28,0,0,1,0,mittel
BW-2025-00057,Körperverletzung,Online-Plattform,Ulm,2025-03-09 17:00:00,Laptop,Telekom,30585,72.103.205.233,3261.94,1,4,11,0,0,1,0,mittel
BW-2025-00058,Diebstahl,Brecheisen,Stuttgart,2025-11-17 19:00:00,Tablet,1&1,47056,190.246.254.13,7073.05,1,4,29,1,0,0,1,hoch
BW-2025-00059,Diebstahl,Fahrzeug,Pforzheim,2025-10-18 05:00:00,Desktop PC,Vodafone,28643,29.71.234.78,5569.01,3,3,3,0,0,0,1,mittel
BW-2025-00060,Einbruchdiebstahl,Online-Plattform,Pforzheim,2025-11-16 23:00:00,Tablet,Telekom,67377,31.151.214.88,0.0,1,1,38,1,1,1,1,niedrig
BW-2025-00061,Betrug,Messer,Freiburg,2025-01-18 15:00:00,Desktop PC,O2,85529,21.76.159.127,13415.96,1,1,48,0,0,0,1,mittel
BW-2025-00062,Einbruchdiebstahl,keines,Heilbronn,2025-10-25 13:00:00,Laptop,Vodafone,63523,96.83.178.254,876.31,3,0,20,1,0,1,1,niedrig
BW-2025-00063,Diebstahl,Brecheisen,Freiburg,2025-07-16 18:00:00,Tablet,1&1,51224,75.157.54.2,10021.71,2,0,20,1,0,1,0,mittel
BW-2025-00064,Diebstahl,Messer,Stuttgart,2025-10-10 02:00:00,Desktop PC,1&1,91973,124.41.152.137,0.0,2,0,48,0,0,1,1,niedrig
BW-2025-00065,Betrug,Fahrzeug,Pforzheim,2025-07-16 15:00:00,Desktop PC,Vodafone,92578,166.223.3.119,13750.66,4,3,15,1,1,0,0,hoch
BW-2025-00066,Einbruchdiebstahl,Online-Plattform,Stuttgart,2025-03-05 15:00:00,Desktop PC,1&1,94896,50.106.166.206,7716.09,1,0,31,0,0,1,0,niedrig
BW-2025-00067,Cybercrime,Online-Plattform,Ulm,2025-06-16 09:00:00,Tablet,1&1,88561,141.28.19.54,0.0,2,0,47,1,0,1,0,niedrig
BW-2025-00068,Einbruchdiebstahl,Laptop,Pforzheim,2025-12-13 14:00:00,Tablet,O2,86931,159.117.219.201,0.0,3,0,42,1,0,1,1,niedrig
BW-2025-00069,Körperverletzung,Brecheisen,Heilbronn,2025-08-24 14:00:00,Desktop PC,1&1,34727,189.143.65.222,862.75,1,2,15,1,1,1,1,mittel
BW-2025-00070,Sachbeschädigung,Fahrzeug,Ulm,2025-11-19 21:00:00,iPhone,O2,14852,43.81.172.239,4697.83,3,1,32,1,1,0,1,mittel
BW-2025-00071,Drogenhandel,Laptop,Heilbronn,2025-01-11 11:00:00,iPhone,1&1,71537,211.18.10.142,0.0,1,1,16,0,1,0,0,niedrig
BW-2025-00072,Drogenhandel,Messer,Karlsruhe,2025-08-05 04:00:00,Laptop,1&1,92727,186.52.207.101,1931.74,4,0,18,1,0,0,0,niedrig
BW-2025-00073,Raub,Laptop,Ulm,2025-10-30 21:00:00,iPhone,Telekom,52516,214.208.14.242,0.0,1,0,3,0,1,0,0,niedrig
BW-2025-00074,Cybercrime,Phishing-Mail,Freiburg,2025-06-16 16:00:00,Tablet,Vodafone,20350,167.7.167.81,0.0,1,2,24,1,0,0,0,niedrig
BW-2025-00075,Raub,keines,Mannheim,2025-06-23 09:00:00,Android Smartphone,1&1,47700,184.119.232.47,9485.73,1,3,34,1,1,0,1,hoch
BW-2025-00076,Einbruchdiebstahl,Laptop,Heilbronn,2025-10-17 15:00:00,Laptop,O2,60422,134.179.134.5,3895.77,1,0,6,1,1,1,0,niedrig
BW-2025-00077,Raub,Messer,Freiburg,2025-07-21 13:00:00,Desktop PC,O2,84177,186.144.142.60,5912.23,2,1,49,0,1,1,0,mittel
BW-2025-00078,Betrug,keines,Pforzheim,2025-05-30 12:00:00,Android Smartphone,O2,92242,176.118.148.17,231.9,4,2,2,0,1,0,0,mittel
BW-2025-00079,Cybercrime,keines,Stuttgart,2025-03-31 17:00:00,Desktop PC,O2,33021,62.103.73.181,4264.46,1,0,8,0,1,1,1,niedrig
BW-2025-00080,Drogenhandel,Online-Plattform,Mannheim,2025-07-21 11:00:00,Laptop,1&1,28449,204.16.18.102,6982.46,1,0,14,1,0,1,0,mittel
BW-2025-00081,Sachbeschädigung,Phishing-Mail,Karlsruhe,2025-06-30 12:00:00,Tablet,Telekom,86619,108.138.227.5,347.86,3,0,40,0,1,1,1,niedrig
BW-2025-00082,Drogenhandel,Laptop,Heidelberg,2025-08-12 22:00:00,Tablet,Telekom,95097,115.134.19.219,7284.05,3,3,7,0,0,1,1,hoch
BW-2025-00083,Einbruchdiebstahl,Smartphone,Stuttgart,2025-03-21 06:00:00,Laptop,1&1,69459,105.250.156.91,5482.82,1,3,42,0,0,0,1,mittel
BW-2025-00084,Sachbeschädigung,Brecheisen,Ulm,2025-10-06 14:00:00,iPhone,1&1,68115,124.215.150.101,0.0,3,3,15,1,0,1,0,mittel
BW-2025-00085,Drogenhandel,Laptop,Freiburg,2025-02-11 08:00:00,Desktop PC,O2,69600,34.119.232.203,1164.38,2,3,42,1,1,0,0,mittel
BW-2025-00086,Raub,Smartphone,Stuttgart,2025-03-27 23:00:00,Laptop,Vodafone,40539,95.28.122.134,1923.49,3,0,49,0,0,0,0,niedrig
BW-2025-00087,Einbruchdiebstahl,Smartphone,Pforzheim,2025-06-21 02:00:00,Android Smartphone,Vodafone,11947,102.181.196.12,4458.75,2,3,50,0,0,0,0,mittel
BW-2025-00088,Raub,Phishing-Mail,Stuttgart,2025-02-05 18:00:00,Android Smartphone,O2,72422,125.194.42.22,0.0,1,4,49,0,1,0,0,mittel
BW-2025-00089,Drogenhandel,Laptop,Heilbronn,2025-01-30 14:00:00,Desktop PC,Vodafone,72781,113.208.99.113,0.0,2,1,27,1,1,0,0,niedrig
BW-2025-00090,Diebstahl,keines,Heilbronn,2025-08-08 21:00:00,iPhone,Telekom,91830,173.17.80.249,1609.08,3,0,37,0,0,0,1,niedrig
BW-2025-00091,Drogenhandel,Messer,Pforzheim,2025-03-09 16:00:00,Tablet,1&1,39949,116.239.175.177,4858.19,1,1,21,0,0,1,1,mittel
BW-2025-00092,Körperverletzung,Messer,Ulm,2025-10-19 08:00:00,iPhone,O2,72163,28.47.166.18,4102.35,1,0,5,1,1,1,0,niedrig
BW-2025-00093,Diebstahl,Laptop,Ulm,2025-03-30 19:00:00,iPhone,O2,56346,181.83.193.156,5515.99,3,0,48,0,1,0,1,mittel
BW-2025-00094,Sachbeschädigung,Smartphone,Pforzheim,2025-08-29 01:00:00,Desktop PC,O2,39392,38.180.51.50,0.0,1,4,22,0,0,0,1,mittel
BW-2025-00095,Drogenhandel,Laptop,Pforzheim,2025-10-20 22:00:00,Desktop PC,Vodafone,45818,190.228.17.10,0.0,3,1,48,0,1,0,0,niedrig
BW-2025-00096,Cybercrime,Phishing-Mail,Freiburg,2025-04-08 19:00:00,iPhone,Vodafone,22026,202.1.46.50,1639.54,2,1,33,1,0,0,0,niedrig
BW-2025-00097,Raub,Messer,Ulm,2025-04-18 10:00:00,Tablet,O2,16895,50.212.21.182,8720.12,2,2,10,1,1,1,0,hoch
BW-2025-00098,Betrug,Laptop,Pforzheim,2025-11-28 13:00:00,Tablet,1&1,77154,40.35.36.230,6105.65,1,0,22,1,1,1,0,mittel
BW-2025-00099,Sachbeschädigung,Laptop,Pforzheim,2025-12-26 17:00:00,Desktop PC,1&1,88554,25.6.48.205,3313.44,3,1,0,1,0,0,1,mittel
BW-2025-00100,Raub,Online-Plattform,Heidelberg,2025-07-17 14:00:00,Android Smartphone,O2,66446,55.250.85.176,5131.32,2,2,8,1,0,0,1,mittel
BW-2025-00101,Sachbeschädigung,Fahrzeug,Freiburg,2025-01-29 21:00:00,iPhone,1&1,51033,158.100.243.208,12689.32,1,2,27,1,0,1,0,hoch
BW-2025-00102,Sachbeschädigung,Messer,Pforzheim,2025-01-15 05:00:00,iPhone,1&1,21551,122.204.87.221,2500.81,3,1,6,1,0,1,1,mittel
BW-2025-00103,Raub,Messer,Ulm,2025-09-28 04:00:00,Desktop PC,Telekom,32037,30.141.153.76,2290.24,1,1,32,1,1,0,1,mittel
BW-2025-00104,Diebstahl,Fahrzeug,Freiburg,2025-06-11 07:00:00,Laptop,Vodafone,32740,165.54.209.236,0.0,2,2,9,0,0,1,0,niedrig
BW-2025-00105,Diebstahl,Brecheisen,Heilbronn,2025-08-09 15:00:00,Tablet,1&1,71462,124.52.140.42,0.0,4,2,40,1,0,1,0,mittel
BW-2025-00106,Cybercrime,Online-Plattform,Stuttgart,2025-07-31 21:00:00,Laptop,Telekom,58331,84.125.225.109,2668.75,1,2,4,1,1,0,0,mittel
BW-2025-00107,Diebstahl,Messer,Heilbronn,2025-11-04 00:00:00,Desktop PC,Telekom,18109,126.85.123.157,0.0,3,4,6,0,1,1,0,mittel
BW-2025-00108,Drogenhandel,Laptop,Mannheim,2025-10-26 20:00:00,iPhone,Vodafone,47079,110.45.187.94,2511.17,2,7,26,1,0,1,1,hoch
BW-2025-00109,Drogenhandel,Smartphone,Freiburg,2025-03-06 12:00:00,iPhone,O2,53694,31.221.80.97,1591.39,1,0,37,1,1,1,0,niedrig
BW-2025-00110,Einbruchdiebstahl,Phishing-Mail,Pforzheim,2025-02-27 20:00:00,Tablet,Vodafone,97833,190.236.185.81,3541.33,2,0,47,1,1,1,0,niedrig
BW-2025-00111,Diebstahl,Messer,Freiburg,2025-07-30 20:00:00,iPhone,O2,35166,68.254.185.156,7772.01,3,1,8,0,0,1,1,mittel
BW-2025-00112,Einbruchdiebstahl,Laptop,Pforzheim,2025-08-18 21:00:00,iPhone,Telekom,33703,188.94.84.246,4090.5,4,3,49,0,1,0,0,mittel
BW-2025-00113,Einbruchdiebstahl,keines,Stuttgart,2025-06-12 03:00:00,Tablet,O2,79993,72.58.37.130,7619.61,2,1,19,1,1,1,0,mittel
BW-2025-00114,Körperverletzung,Fahrzeug,Freiburg,2025-11-12 04:00:00,Desktop PC,1&1,36174,216.31.83.24,9700.7,3,0,38,1,1,1,0,mittel
BW-2025-00115,Einbruchdiebstahl,Online-Plattform,Stuttgart,2025-03-12 00:00:00,Tablet,O2,45755,126.6.149.136,7762.91,1,1,32,0,1,0,0,mittel
BW-2025-00116,Einbruchdiebstahl,Messer,Karlsruhe,2025-08-27 15:00:00,Android Smartphone,1&1,75799,106.187.240.177,1787.67,2,2,15,0,1,0,1,mittel
BW-2025-00117,Sachbeschädigung,Laptop,Freiburg,2025-08-06 13:00:00,Android Smartphone,Telekom,15020,84.112.237.154,7416.96,2,1,30,0,1,0,0,mittel
BW-2025-00118,Einbruchdiebstahl,keines,Heilbronn,2025-02-24 02:00:00,Desktop PC,Telekom,81932,197.44.15.25,2933.77,2,0,38,0,1,0,0,niedrig
BW-2025-00119,Sachbeschädigung,Laptop,Pforzheim,2025-03-25 04:00:00,Android Smartphone,O2,18232,39.97.46.194,4728.29,2,1,31,0,0,1,1,mittel
BW-2025-00120,Betrug,Fahrzeug,Mannheim,2025-01-02 01:00:00,Laptop,1&1,97080,182.16.33.206,0.0,2,0,5,1,0,1,0,niedrig
BW-2025-00121,Drogenhandel,Laptop,Stuttgart,2025-01-30 17:00:00,Tablet,1&1,56805,212.220.114.184,0.0,2,2,4,1,1,1,0,mittel
BW-2025-00122,Drogenhandel,Fahrzeug,Karlsruhe,2025-04-02 01:00:00,Desktop PC,O2,99742,129.241.134.171,0.0,2,0,44,0,1,1,0,niedrig
BW-2025-00123,Körperverletzung,Brecheisen,Mannheim,2025-01-26 05:00:00,iPhone,1&1,15492,91.202.227.45,0.0,1,0,19,1,0,0,0,niedrig
BW-2025-00124,Sachbeschädigung,keines,Pforzheim,2025-07-15 07:00:00,iPhone,Vodafone,26315,215.161.180.92,2518.36,1,0,23,1,0,1,1,niedrig
BW-2025-00125,Sachbeschädigung,Messer,Heilbronn,2025-05-08 12:00:00,Tablet,O2,20828,197.34.0.101,3258.63,1,1,27,1,1,1,1,mittel
BW-2025-00126,Diebstahl,Messer,Mannheim,2025-08-08 06:00:00,Desktop PC,O2,50173,125.39.137.14,5315.65,3,0,38,0,0,1,1,mittel
BW-2025-00127,Sachbeschädigung,Brecheisen,Heilbronn,2025-01-29 21:00:00,Laptop,1&1,19835,182.210.181.18,2494.52,1,2,40,1,1,1,0,mittel
BW-2025-00128,Sachbeschädigung,Phishing-Mail,Mannheim,2025-10-27 03:00:00,iPhone,Vodafone,94562,104.199.179.230,537.24,1,2,23,0,0,0,0,niedrig
BW-2025-00129,Sachbeschädigung,Smartphone,Mannheim,2025-09-11 23:00:00,Tablet,O2,62171,91.123.144.114,10402.35,1,0,41,1,0,0,1,mittel
BW-2025-00130,Cybercrime,Fahrzeug,Karlsruhe,2025-12-07 16:00:00,iPhone,Vodafone,68493,65.238.22.64,6831.31,1,2,39,1,0,1,1,mittel
BW-2025-00131,Cybercrime,keines,Heidelberg,2025-02-20 13:00:00,iPhone,Vodafone,99381,92.208.129.9,2424.37,1,1,42,1,0,1,0,niedrig
BW-2025-00132,Drogenhandel,Laptop,Pforzheim,2025-04-29 20:00:00,Laptop,Vodafone,28202,71.154.190.16,0.0,1,0,50,1,0,0,0,niedrig
BW-2025-00133,Körperverletzung,Smartphone,Freiburg,2025-11-16 01:00:00,Desktop PC,O2,62187,194.136.245.209,0.0,1,1,46,0,0,0,1,niedrig
BW-2025-00134,Körperverletzung,Messer,Ulm,2025-03-27 13:00:00,Desktop PC,Telekom,99143,143.113.180.176,3982.0,3,2,22,1,0,1,1,mittel
BW-2025-00135,Einbruchdiebstahl,Brecheisen,Mannheim,2025-03-26 18:00:00,Tablet,Telekom,52291,192.150.202.124,3348.16,1,2,14,0,1,0,0,mittel
BW-2025-00136,Drogenhandel,Online-Plattform,Karlsruhe,2025-07-07 08:00:00,Laptop,Vodafone,87569,159.165.63.222,1253.69,1,1,9,0,1,0,0,niedrig
BW-2025-00137,Einbruchdiebstahl,Phishing-Mail,Stuttgart,2025-02-01 00:00:00,iPhone,Telekom,75278,171.141.210.27,0.0,3,2,34,1,0,1,0,mittel
BW-2025-00138,Cybercrime,Online-Plattform,Heilbronn,2025-07-23 01:00:00,Android Smartphone,1&1,67619,117.102.47.206,72.11,1,0,30,1,0,0,0,niedrig
BW-2025-00139,Körperverletzung,Fahrzeug,Freiburg,2025-08-02 09:00:00,Desktop PC,Vodafone,58567,142.213.188.235,0.0,1,1,35,1,1,1,0,niedrig
BW-2025-00140,Diebstahl,Phishing-Mail,Heidelberg,2025-07-02 14:00:00,Tablet,Telekom,16632,85.75.85.99,0.0,2,1,24,1,0,0,0,niedrig
BW-2025-00141,Sachbeschädigung,Fahrzeug,Mannheim,2025-05-10 14:00:00,Laptop,O2,50441,138.83.168.142,4756.14,2,2,1,0,1,1,1,mittel
BW-2025-00142,Diebstahl,Messer,Heilbronn,2025-08-29 21:00:00,Android Smartphone,Vodafone,88317,178.125.149.241,5254.13,1,3,43,0,0,1,1,mittel
BW-2025-00143,Körperverletzung,Online-Plattform,Stuttgart,2025-04-02 10:00:00,iPhone,1&1,15930,113.140.132.119,18.19,2,1,3,1,1,1,1,mittel
BW-2025-00144,Raub,Phishing-Mail,Pforzheim,2025-12-11 05:00:00,iPhone,1&1,22672,111.214.223.191,0.0,2,0,23,1,1,0,0,niedrig
BW-2025-00145,Drogenhandel,Phishing-Mail,Mannheim,2025-12-08 09:00:00,Android Smartphone,1&1,53652,216.208.180.212,0.0,2,1,30,0,0,0,0,niedrig
BW-2025-00146,Körperverletzung,Brecheisen,Mannheim,2025-04-21 22:00:00,Laptop,O2,83783,87.191.19.29,15527.0,1,0,30,1,1,1,1,mittel
BW-2025-00147,Betrug,Phishing-Mail,Freiburg,2025-07-30 00:00:00,iPhone,1&1,16731,160.97.200.19,0.0,1,0,30,0,1,1,0,niedrig
BW-2025-00148,Einbruchdiebstahl,Messer,Mannheim,2025-03-17 00:00:00,Android Smartphone,Telekom,64890,49.196.50.246,291.14,2,3,26,0,0,1,1,mittel
BW-2025-00149,Raub,Messer,Heilbronn,2025-12-21 02:00:00,iPhone,Vodafone,51124,55.85.174.247,0.0,1,3,29,0,1,1,1,mittel
BW-2025-00150,Drogenhandel,Phishing-Mail,Pforzheim,2025-05-12 06:00:00,Desktop PC,1&1,49008,208.107.173.76,3763.78,2,0,18,0,1,1,0,niedrig
BW-2025-00151,Raub,keines,Freiburg,2025-07-06 16:00:00,Tablet,O2,55237,208.231.139.35,3389.65,2,2,9,1,0,1,1,mittel
BW-2025-00152,Cybercrime,Smartphone,Pforzheim,2025-10-29 23:00:00,iPhone,O2,80592,80.104.244.38,324.68,2,0,35,1,1,0,0,niedrig
BW-2025-00153,Cybercrime,Brecheisen,Karlsruhe,2025-06-15 12:00:00,Desktop PC,Vodafone,23133,116.206.30.78,4775.03,1,2,21,0,0,0,0,mittel
BW-2025-00154,Körperverletzung,Laptop,Mannheim,2025-10-05 18:00:00,iPhone,Vodafone,52096,84.16.250.222,1784.09,3,2,41,1,1,0,1,mittel
BW-2025-00155,Betrug,Laptop,Heidelberg,2025-04-30 12:00:00,Desktop PC,Telekom,74930,58.178.30.102,0.0,1,2,47,1,0,0,1,mittel
BW-2025-00156,Cybercrime,Smartphone,Stuttgart,2025-08-17 17:00:00,Laptop,Telekom,76088,130.208.53.158,1923.7,3,3,17,1,1,1,0,mittel
