case_id,deliktart,tatmittel,tatort_stadt,tatort_urban,tatzeit,tatzeit_nacht,geraet_typ,mobilfunk_provider,cell_id,ip_adresse,schadenshoehe_eur,anzahl_verdaechtige,vorstrafen_bekannt,kommunikation_events,netzwerk_score,vorplanungszeit_h,digitale_spuren,gps_daten_vorhanden,video_cctv,osint_hinweise,risiko_klasse
BW-2025-00052,Betrug,Phishing-Mail,Pforzheim,0,2025-10-26 07:00:00,0,iPhone,O2,34486,138.7.44.185,1706.08,2,1,34,0.631,6.84,1,1,1,1,mittel
BW-2025-00053,Körperverletzung,Phishing-Mail,Pforzheim,0,2025-02-23 21:00:00,0,iPhone,1&1,23447,31.127.101.112,656.47,2,0,13,0.354,1.77,1,0,1,1,niedrig
BW-2025-00054,Drogenhandel,Online-Plattform,Pforzheim,0,2025-04-24 18:00:00,0,Tablet,1&1,56210,168.102.232.21,3155.35,2,2,19,0.417,6.94,1,1,1,0,mittel
BW-2025-00055,Sachbeschädigung,Online-Plattform,Stuttgart,1,2025-09-06 00:00:00,1,iPhone,1&1,14561,43.80.156.98,1494.87,2,2,14,0.392,4.98,0,0,0,1,niedrig
BW-2025-00056,Diebstahl,Fahrzeug,Freiburg,1,2025-01-23 02:00:00,1,Laptop,1&1,68188,206.89.129.10,5720.5,2,5,22,0.329,12.86,0,1,1,1,mittel
BW-2025-00057,Diebstahl,Brecheisen,Freiburg,1,2025-07-10 06:00:00,0,Tablet,O2,75410,143.138.244.64,517.38,1,0,7,0.274,4.32,0,0,0,0,niedrig
BW-2025-00058,Sachbeschädigung,Laptop,Pforzheim,0,2025-05-27 11:00:00,0,Laptop,1&1,27790,29.245.19.26,609.58,1,1,8,0.213,0.42,1,1,0,0,niedrig
BW-2025-00059,Körperverletzung,Brecheisen,Heilbronn,1,2025-08-26 04:00:00,1,iPhone,O2,93584,55.145.58.124,3466.36,3,2,17,0.401,7.86,0,1,1,0,mittel
BW-2025-00060,Drogenhandel,Fahrzeug,Karlsruhe,1,2025-06-11 14:00:00,0,Android Smartphone,Vodafone,71263,216.188.198.83,5385.24,2,4,31,0.333,9.34,1,0,1,1,mittel
BW-2025-00061,Einbruchdiebstahl,Laptop,Karlsruhe,1,2025-11-23 18:00:00,0,Laptop,1&1,51553,175.112.77.72,5038.22,1,2,30,0.511,14.92,1,1,0,0,mittel
BW-2025-00062,Diebstahl,keines,Heilbronn,1,2025-03-29 14:00:00,0,Desktop PC,O2,26274,143.162.87.108,9390.7,2,6,45,0.895,44.78,0,0,1,0,hoch
BW-2025-00063,Einbruchdiebstahl,Online-Plattform,Mannheim,1,2025-06-03 22:00:00,1,Android Smartphone,O2,35729,173.147.25.250,1686.66,1,1,18,0.485,7.24,1,1,0,1,mittel
BW-2025-00064,Cybercrime,Brecheisen,Pforzheim,0,2025-12-10 02:00:00,1,Desktop PC,Telekom,83874,21.139.181.180,5963.47,3,7,64,0.929,46.09,0,0,0,1,hoch
BW-2025-00065,Betrug,Laptop,Stuttgart,1,2025-05-24 21:00:00,0,Desktop PC,O2,94136,88.86.10.61,1245.18,2,0,12,0.363,2.76,1,0,1,1,niedrig
BW-2025-00066,Körperverletzung,Fahrzeug,Ulm,0,2025-02-19 19:00:00,0,Laptop,1&1,73471,129.229.174.120,7761.03,2,5,56,0.828,12.41,0,0,1,1,hoch
BW-2025-00067,Raub,Phishing-Mail,Mannheim,1,2025-08-24 18:00:00,0,Laptop,O2,51827,72.226.136.89,1005.47,2,2,9,0.383,4.25,1,0,1,0,niedrig
BW-2025-00068,Körperverletzung,Laptop,Pforzheim,0,2025-04-07 04:00:00,1,Tablet,Vodafone,90658,118.10.224.227,612.19,1,0,7,0.182,1.04,0,0,1,1,niedrig
BW-2025-00069,Raub,Brecheisen,Freiburg,1,2025-05-10 14:00:00,0,Desktop PC,O2,50441,138.83.168.142,1001.57,1,0,19,0.134,3.36,0,1,1,1,niedrig
BW-2025-00070,Betrug,Laptop,Ulm,0,2025-06-14 08:00:00,0,Desktop PC,1&1,46877,137.177.98.241,5326.73,2,3,31,0.354,3.35,0,1,0,0,mittel
BW-2025-00071,Körperverletzung,Online-Plattform,Stuttgart,1,2025-04-02 10:00:00,0,iPhone,1&1,15930,113.140.132.119,3968.06,3,1,20,0.547,14.77,1,1,1,1,mittel
BW-2025-00072,Betrug,Fahrzeug,Freiburg,1,2025-02-20 04:00:00,1,Desktop PC,O2,26864,35.192.30.43,1766.35,2,0,7,0.371,1.74,1,1,1,0,niedrig
BW-2025-00073,Sachbeschädigung,Phishing-Mail,Freiburg,1,2025-04-09 11:00:00,0,Desktop PC,O2,15100,46.20.208.200,5253.54,2,2,19,0.619,8.51,0,1,0,0,mittel
BW-2025-00074,Drogenhandel,keines,Heilbronn,1,2025-08-12 21:00:00,0,Android Smartphone,Vodafone,87820,97.28.146.16,10842.95,4,1,35,0.797,22.49,1,0,1,1,hoch
BW-2025-00075,Körperverletzung,Online-Plattform,Heilbronn,1,2025-08-15 03:00:00,1,iPhone,O2,88238,132.126.190.135,17.32,1,0,13,0.238,2.92,0,1,1,0,niedrig
BW-2025-00076,Cybercrime,Fahrzeug,Stuttgart,1,2025-04-27 09:00:00,0,Desktop PC,1&1,85047,190.85.86.165,1767.08,1,0,8,0.204,4.48,1,0,0,0,niedrig
BW-2025-00077,Diebstahl,Fahrzeug,Stuttgart,1,2025-10-13 21:00:00,0,Tablet,O2,75774,209.100.149.167,17220.37,3,1,48,0.929,23.11,0,1,0,1,hoch
BW-2025-00078,Körperverletzung,Smartphone,Mannheim,1,2025-08-10 21:00:00,0,Desktop PC,Vodafone,70249,147.123.3.229,8056.56,3,4,55,0.876,11.49,1,1,1,0,hoch
BW-2025-00079,Drogenhandel,Phishing-Mail,Pforzheim,0,2025-05-12 06:00:00,0,Desktop PC,1&1,49008,208.107.173.76,11058.36,4,3,55,0.947,13.21,0,1,1,0,hoch
BW-2025-00080,Cybercrime,Fahrzeug,Heilbronn,1,2025-08-27 02:00:00,1,Laptop,1&1,61712,220.129.47.119,3267.19,2,2,28,0.485,11.97,1,1,0,1,mittel
BW-2025-00081,Drogenhandel,Brecheisen,Pforzheim,0,2025-02-23 22:00:00,1,iPhone,O2,38047,62.186.186.136,1145.93,1,0,19,0.109,4.34,1,1,1,1,niedrig
BW-2025-00082,Cybercrime,Online-Plattform,Mannheim,1,2025-06-15 12:00:00,0,iPhone,Vodafone,23133,116.206.30.78,1245.35,1,0,19,0.373,9.77,0,0,0,0,mittel
BW-2025-00083,Drogenhandel,keines,Karlsruhe,1,2025-04-18 19:00:00,0,Android Smartphone,Telekom,47649,93.56.11.242,659.24,2,1,24,0.616,8.98,1,1,1,0,mittel
BW-2025-00084,Cybercrime,Smartphone,Karlsruhe,1,2025-01-26 11:00:00,0,Desktop PC,Vodafone,62034,212.183.201.188,3116.05,1,2,33,0.452,7.05,0,1,0,0,mittel
BW-2025-00085,Körperverletzung,Brecheisen,Pforzheim,0,2025-07-23 16:00:00,0,iPhone,Telekom,94058,150.21.189.148,935.6,2,0,15,0.396,3.03,0,1,1,1,niedrig
BW-2025-00086,Körperverletzung,Brecheisen,Heilbronn,1,2025-03-18 21:00:00,0,Laptop,Vodafone,34405,14.155.5.140,7554.31,3,1,33,0.94,13.34,1,0,1,1,hoch
BW-2025-00087,Drogenhandel,Online-Plattform,Heidelberg,0,2025-10-19 23:00:00,1,Android Smartphone,1&1,34219,46.255.35.211,4196.23,2,0,31,0.496,11.67,1,0,1,0,mittel
BW-2025-00088,Körperverletzung,Phishing-Mail,Heidelberg,0,2025-09-19 20:00:00,0,iPhone,O2,49576,160.28.37.213,3849.51,2,2,19,0.375,6.88,0,1,1,1,mittel
BW-2025-00089,Betrug,Online-Plattform,Freiburg,1,2025-03-22 16:00:00,0,Android Smartphone,Telekom,99925,139.165.46.101,3419.64,1,1,28,0.415,9.97,1,1,0,1,mittel
BW-2025-00090,Cybercrime,Laptop,Pforzheim,0,2025-05-30 14:00:00,0,Laptop,Vodafone,89395,106.165.224.170,760.35,1,0,5,0.211,2.27,0,1,0,1,niedrig
BW-2025-00091,Sachbeschädigung,keines,Heidelberg,0,2025-12-25 17:00:00,0,Android Smartphone,Telekom,18094,151.50.189.178,5995.51,3,0,22,0.624,6.06,1,1,0,0,mittel
BW-2025-00092,Raub,Brecheisen,Mannheim,1,2025-03-21 08:00:00,0,Laptop,1&1,17292,127.20.35.181,4659.49,2,2,31,0.64,11.95,0,1,0,1,mittel
BW-2025-00093,Einbruchdiebstahl,Messer,Heilbronn,1,2025-11-12 15:00:00,0,Desktop PC,Telekom,10395,201.237.10.249,4025.94,2,1,17,0.327,11.89,1,0,1,1,mittel
BW-2025-00094,Raub,Laptop,Stuttgart,1,2025-02-13 12:00:00,0,Tablet,O2,47629,115.171.128.234,1500.67,1,0,13,0.325,4.0,0,0,1,0,niedrig
BW-2025-00095,Einbruchdiebstahl,Brecheisen,Ulm,0,2025-11-03 04:00:00,1,Laptop,1&1,95660,100.7.114.153,534.54,1,0,18,0.257,1.79,1,1,0,0,niedrig
BW-2025-00096,Diebstahl,Brecheisen,Ulm,0,2025-06-02 00:00:00,1,Desktop PC,Vodafone,98276,195.22.138.235,2594.7,3,2,33,0.55,9.48,0,0,1,1,mittel
BW-2025-00097,Sachbeschädigung,Messer,Heidelberg,0,2025-08-25 07:00:00,0,Android Smartphone,1&1,14222,218.57.246.72,5997.07,1,1,16,0.517,13.88,0,1,0,0,mittel
BW-2025-00098,Sachbeschädigung,Smartphone,Heidelberg,0,2025-03-10 21:00:00,0,Android Smartphone,Telekom,15798,113.250.220.160,1672.78,2,2,34,0.618,10.44,0,1,0,0,mittel
BW-2025-00099,Körperverletzung,Fahrzeug,Heidelberg,0,2025-12-10 23:00:00,1,iPhone,Vodafone,41051,88.64.111.27,12863.69,3,2,66,0.911,15.44,1,0,1,1,hoch
BW-2025-00100,Einbruchdiebstahl,Fahrzeug,Ulm,0,2025-02-11 14:00:00,0,Laptop,O2,55143,175.176.92.137,3988.06,1,2,27,0.344,13.16,0,1,1,0,mittel
BW-2025-00101,Sachbeschädigung,Phishing-Mail,Ulm,0,2025-07-24 17:00:00,0,Tablet,Vodafone,39536,87.253.15.193,2595.19,1,1,29,0.464,12.26,1,0,1,0,mittel
BW-2025-00102,Einbruchdiebstahl,keines,Stuttgart,1,2025-10-12 08:00:00,0,Desktop PC,1&1,36651,95.140.29.132,816.36,1,0,14,0.176,1.73,0,1,0,1,niedrig
BW-2025-00103,Diebstahl,keines,Freiburg,1,2025-02-05 04:00:00,1,iPhone,Vodafone,34662,216.253.149.49,0.0,2,0,18,0.284,4.56,1,1,0,0,niedrig
BW-2025-00104,Raub,keines,Heidelberg,0,2025-01-11 11:00:00,0,Laptop,O2,41797,189.20.144.98,4301.77,1,1,30,0.579,14.07,0,0,0,1,mittel
BW-2025-00105,Raub,Messer,Heidelberg,0,2025-07-13 05:00:00,1,Desktop PC,O2,44283,103.17.171.109,325.72,1,0,14,0.121,0.39,1,1,1,1,niedrig
BW-2025-00106,Körperverletzung,keines,Karlsruhe,1,2025-05-19 16:00:00,0,Tablet,O2,83731,67.165.107.73,2058.87,1,0,15,0.648,9.23,1,1,1,0,mittel
BW-2025-00107,Einbruchdiebstahl,Smartphone,Pforzheim,0,2025-07-21 12:00:00,0,Desktop PC,1&1,59786,156.221.185.191,2230.14,5,1,55,0.733,25.13,0,0,1,0,hoch
BW-2025-00108,Raub,keines,Freiburg,1,2025-12-01 21:00:00,0,Laptop,1&1,28344,195.102.119.170,4234.76,2,1,16,0.667,10.04,1,0,1,0,mittel
BW-2025-00109,Körperverletzung,Brecheisen,Stuttgart,1,2025-02-20 17:00:00,0,Desktop PC,Telekom,92667,70.63.56.0,3707.53,1,0,15,0.445,9.97,0,0,1,0,mittel
BW-2025-00110,Diebstahl,Brecheisen,Stuttgart,1,2025-09-12 18:00:00,0,Android Smartphone,1&1,10866,147.63.19.198,1474.21,2,1,22,0.501,10.14,0,1,1,0,mittel
BW-2025-00111,Sachbeschädigung,Smartphone,Stuttgart,1,2025-07-15 17:00:00,0,Desktop PC,O2,22624,145.62.31.42,9055.72,3,2,58,0.85,24.35,0,1,0,0,hoch
BW-2025-00112,Einbruchdiebstahl,Fahrzeug,Heidelberg,0,2025-08-30 23:00:00,1,Desktop PC,O2,63218,128.128.224.80,3454.66,3,1,32,0.51,8.29,1,1,0,1,mittel
BW-2025-00113,Raub,Fahrzeug,Pforzheim,0,2025-03-05 19:00:00,0,iPhone,Telekom,17355,174.1.236.3,4869.13,1,0,15,0.434,3.91,1,1,1,1,mittel
BW-2025-00114,Betrug,Brecheisen,Karlsruhe,1,2025-08-15 03:00:00,1,Tablet,1&1,84289,132.186.99.10,1757.01,3,6,17,0.392,11.06,0,0,0,0,mittel
BW-2025-00115,Cybercrime,Smartphone,Karlsruhe,1,2025-05-03 10:00:00,0,Laptop,Telekom,62205,30.178.44.236,485.29,1,1,6,0.342,4.94,1,0,0,0,niedrig
BW-2025-00116,Cybercrime,Brecheisen,Heidelberg,0,2025-08-15 11:00:00,0,Desktop PC,1&1,17038,36.1.239.135,1549.88,1,2,18,0.188,4.48,1,0,0,1,niedrig
BW-2025-00117,Sachbeschädigung,Fahrzeug,Karlsruhe,1,2025-08-11 19:00:00,0,Laptop,1&1,39902,102.22.113.88,3489.2,1,3,24,0.63,7.36,0,1,1,1,mittel
BW-2025-00118,Sachbeschädigung,Messer,Mannheim,1,2025-02-28 12:00:00,0,Desktop PC,1&1,45123,50.123.6.103,4777.82,1,2,26,0.356,13.42,1,0,0,0,mittel
BW-2025-00119,Sachbeschädigung,Brecheisen,Ulm,0,2025-03-14 17:00:00,0,Laptop,O2,57175,205.231.154.152,4457.73,2,2,28,0.597,11.39,0,0,1,1,mittel
BW-2025-00120,Cybercrime,Laptop,Mannheim,1,2025-10-22 05:00:00,1,iPhone,Vodafone,21746,101.154.32.106,0.0,1,1,14,0.258,0.86,1,1,0,0,niedrig
BW-2025-00121,Diebstahl,Phishing-Mail,Ulm,0,2025-10-10 11:00:00,0,iPhone,O2,99825,108.119.167.113,0.0,1,0,13,0.249,3.6,1,0,0,0,niedrig
BW-2025-00122,Einbruchdiebstahl,Brecheisen,Pforzheim,0,2025-12-03 15:00:00,0,Laptop,O2,46170,118.205.92.231,1651.8,1,1,27,0.566,5.1,0,0,0,1,mittel
BW-2025-00123,Cybercrime,keines,Karlsruhe,1,2025-06-18 08:00:00,0,Laptop,O2,27758,88.254.17.23,705.14,2,0,14,0.227,1.77,1,0,1,0,niedrig
BW-2025-00124,Betrug,Messer,Freiburg,1,2025-08-13 23:00:00,1,Desktop PC,1&1,49378,93.23.28.136,3220.81,1,0,25,0.415,7.27,1,1,1,0,mittel
BW-2025-00125,Raub,keines,Freiburg,1,2025-08-06 20:00:00,0,Android Smartphone,1&1,59290,82.193.192.23,1536.19,3,2,19,0.494,6.24,1,1,0,1,mittel
BW-2025-00126,Sachbeschädigung,Phishing-Mail,Karlsruhe,1,2025-05-03 19:00:00,0,Desktop PC,Vodafone,48185,188.93.167.45,60.83,1,3,13,0.331,0.53,0,1,0,1,niedrig
BW-2025-00127,Diebstahl,Messer,Heilbronn,1,2025-06-15 05:00:00,1,Android Smartphone,O2,19694,125.246.9.88,3269.77,1,2,21,0.33,3.93,1,0,1,1,mittel
BW-2025-00128,Körperverletzung,Messer,Ulm,0,2025-09-03 10:00:00,0,Desktop PC,Telekom,31802,176.161.200.37,12942.89,2,4,45,0.949,37.82,0,0,0,1,hoch
BW-2025-00129,Betrug,Messer,Freiburg,1,2025-01-08 04:00:00,1,Tablet,Telekom,68429,106.198.76.208,3839.69,3,2,26,0.388,14.85,0,1,0,0,mittel
BW-2025-00130,Sachbeschädigung,keines,Mannheim,1,2025-11-26 13:00:00,0,Laptop,Telekom,25213,197.235.40.107,1057.77,1,0,9,0.242,1.56,0,1,1,0,niedrig
BW-2025-00131,Einbruchdiebstahl,Phishing-Mail,Pforzheim,0,2025-05-22 05:00:00,1,Laptop,1&1,67431,195.212.152.72,10430.1,2,1,52,0.918,38.31,1,1,1,0,hoch
BW-2025-00132,Körperverletzung,Phishing-Mail,Karlsruhe,1,2025-03-20 13:00:00,0,Laptop,Telekom,41970,143.24.45.53,8732.49,2,4,63,0.954,30.15,0,1,0,0,hoch
BW-2025-00133,Einbruchdiebstahl,Brecheisen,Freiburg,1,2025-11-12 10:00:00,0,Desktop PC,1&1,93948,179.69.84.195,0.0,1,3,27,0.55,13.63,0,1,0,0,mittel
BW-2025-00134,Sachbeschädigung,Messer,Stuttgart,1,2025-11-03 21:00:00,0,Desktop PC,Vodafone,36972,82.65.155.72,0.0,1,0,14,0.397,0.0,1,1,0,0,niedrig
BW-2025-00135,Diebstahl,Laptop,Mannheim,1,2025-05-15 12:00:00,0,Laptop,O2,79168,174.156.158.198,2343.5,1,1,28,0.44,12.21,1,0,1,1,mittel
BW-2025-00136,Drogenhandel,Messer,Ulm,0,2025-08-26 12:00:00,0,Desktop PC,Telekom,90541,162.21.70.51,494.09,1,1,19,0.219,0.46,1,1,0,1,niedrig
