aufgabe,schwierigkeit,instruction,input,output
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 05.03.2026 gegen 20:46 Uhr wurde der Polizei ein Vorfall in der Heinrichstraße 70 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 05.03.2026 um 20:46 Uhr kam es in der Heinrichstraße 70 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: unbekannt.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 26.02.2026 gegen 12:48 Uhr wurde der Polizei ein Vorfall in der Industriestraße 6 gemeldet. Nach ersten Erkenntnissen handelt es sich um Ladendiebstahl. Zeugen machten widersprüchliche Angaben zum Tatablauf. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 26.02.2026 um 12:48 Uhr kam es in der Industriestraße 6 zu Ladendiebstahl (§ 242 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: zwei männliche Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 13.04.2026 gegen 11:43 Uhr wurde der Polizei ein Vorfall in der Marktplatz 56 gemeldet. Nach ersten Erkenntnissen handelt es sich um Betrug. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 13.04.2026 um 11:43 Uhr kam es in der Marktplatz 56 zu Betrug (§ 263 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: männlich.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 07.03.2026 gegen 11:45 Uhr wurde der Polizei ein Vorfall in der Hauptstraße 11 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 07.03.2026 um 11:45 Uhr kam es in der Hauptstraße 11 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: Kapuze.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 10.01.2026 gegen 17:44 Uhr wurde der Polizei ein Vorfall in der Goethestraße 4 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 10.01.2026 um 17:44 Uhr kam es in der Goethestraße 4 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 12.02.2026 gegen 13:22 Uhr wurde der Polizei ein Vorfall in der Bahnhofstraße 21 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 12.02.2026 um 13:22 Uhr kam es in der Bahnhofstraße 21 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: mehrere Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 17.02.2026 gegen 21:15 Uhr wurde der Polizei ein Vorfall in der Hauptstraße 8 gemeldet. Nach ersten Erkenntnissen handelt es sich um Fahren ohne Fahrerlaubnis. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 17.02.2026 um 21:15 Uhr kam es in der Hauptstraße 8 zu Fahren ohne Fahrerlaubnis (§ 21 StVG). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: ca. 30 Jahre.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 27.04.2026 gegen 20:49 Uhr wurde der Polizei ein Vorfall in der Marktplatz 50 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 27.04.2026 um 20:49 Uhr kam es in der Marktplatz 50 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 16.01.2026 gegen 20:10 Uhr wurde der Polizei ein Vorfall in der Goethestraße 56 gemeldet. Nach ersten Erkenntnissen handelt es sich um Ladendiebstahl. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 16.01.2026 um 20:10 Uhr kam es in der Goethestraße 56 zu Ladendiebstahl (§ 242 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: männlich.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 14.02.2026 gegen 14:55 Uhr wurde der Polizei ein Vorfall in der Industriestraße 39 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 14.02.2026 um 14:55 Uhr kam es in der Industriestraße 39 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: unbekannt.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 11.02.2026 gegen 16:32 Uhr wurde der Polizei ein Vorfall in der Karlstraße 18 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 11.02.2026 um 16:32 Uhr kam es in der Karlstraße 18 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: dunkle Kleidung.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 29.01.2026 gegen 18:21 Uhr wurde der Polizei ein Vorfall in der Hauptstraße 35 gemeldet. Nach ersten Erkenntnissen handelt es sich um Sachbeschädigung. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 29.01.2026 um 18:21 Uhr kam es in der Hauptstraße 35 zu Sachbeschädigung (§ 303 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: zwei männliche Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 20.02.2026 gegen 01:32 Uhr wurde der Polizei ein Vorfall in der Hauptstraße 26 gemeldet. Nach ersten Erkenntnissen handelt es sich um Sachbeschädigung. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 20.02.2026 um 01:32 Uhr kam es in der Hauptstraße 26 zu Sachbeschädigung (§ 303 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: mehrere Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 25.01.2026 gegen 08:36 Uhr wurde der Polizei ein Vorfall in der Heinrichstraße 11 gemeldet. Nach ersten Erkenntnissen handelt es sich um Sachbeschädigung. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 25.01.2026 um 08:36 Uhr kam es in der Heinrichstraße 11 zu Sachbeschädigung (§ 303 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: unbekannt.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 18.01.2026 gegen 17:08 Uhr wurde der Polizei ein Vorfall in der Industriestraße 64 gemeldet. Nach ersten Erkenntnissen handelt es sich um Betrug. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 18.01.2026 um 17:08 Uhr kam es in der Industriestraße 64 zu Betrug (§ 263 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: unbekannt.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 21.04.2026 gegen 15:21 Uhr wurde der Polizei ein Vorfall in der Goethestraße 29 gemeldet. Nach ersten Erkenntnissen handelt es sich um Fahren ohne Fahrerlaubnis. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 21.04.2026 um 15:21 Uhr kam es in der Goethestraße 29 zu Fahren ohne Fahrerlaubnis (§ 21 StVG). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: männlich.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 25.04.2026 gegen 19:38 Uhr wurde der Polizei ein Vorfall in der Industriestraße 44 gemeldet. Nach ersten Erkenntnissen handelt es sich um Betrug. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 25.04.2026 um 19:38 Uhr kam es in der Industriestraße 44 zu Betrug (§ 263 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: dunkle Kleidung.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 21.04.2026 gegen 14:23 Uhr wurde der Polizei ein Vorfall in der Goethestraße 41 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 21.04.2026 um 14:23 Uhr kam es in der Goethestraße 41 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: mehrere Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 16.04.2026 gegen 05:24 Uhr wurde der Polizei ein Vorfall in der Bahnhofstraße 54 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 16.04.2026 um 05:24 Uhr kam es in der Bahnhofstraße 54 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: ca. 30 Jahre.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 20.04.2026 gegen 17:24 Uhr wurde der Polizei ein Vorfall in der Schillerstraße 9 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 20.04.2026 um 17:24 Uhr kam es in der Schillerstraße 9 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 11.02.2026 gegen 01:24 Uhr wurde der Polizei ein Vorfall in der Bahnhofstraße 76 gemeldet. Nach ersten Erkenntnissen handelt es sich um Körperverletzung. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 11.02.2026 um 01:24 Uhr kam es in der Bahnhofstraße 76 zu Körperverletzung (§ 223 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 11.02.2026 gegen 07:41 Uhr wurde der Polizei ein Vorfall in der Industriestraße 35 gemeldet. Nach ersten Erkenntnissen handelt es sich um Fahren ohne Fahrerlaubnis. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 11.02.2026 um 07:41 Uhr kam es in der Industriestraße 35 zu Fahren ohne Fahrerlaubnis (§ 21 StVG). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: ca. 30 Jahre.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 30.03.2026 gegen 14:32 Uhr wurde der Polizei ein Vorfall in der Marktplatz 44 gemeldet. Nach ersten Erkenntnissen handelt es sich um Ladendiebstahl. Zeugen machten widersprüchliche Angaben zum Tatablauf. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 30.03.2026 um 14:32 Uhr kam es in der Marktplatz 44 zu Ladendiebstahl (§ 242 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 05.03.2026 gegen 23:08 Uhr wurde der Polizei ein Vorfall in der Industriestraße 69 gemeldet. Nach ersten Erkenntnissen handelt es sich um Ladendiebstahl. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 05.03.2026 um 23:08 Uhr kam es in der Industriestraße 69 zu Ladendiebstahl (§ 242 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: dunkle Kleidung.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 22.04.2026 gegen 11:57 Uhr wurde der Polizei ein Vorfall in der Heinrichstraße 77 gemeldet. Nach ersten Erkenntnissen handelt es sich um Fahren ohne Fahrerlaubnis. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 22.04.2026 um 11:57 Uhr kam es in der Heinrichstraße 77 zu Fahren ohne Fahrerlaubnis (§ 21 StVG). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 10.04.2026 gegen 09:45 Uhr wurde der Polizei ein Vorfall in der Bahnhofstraße 42 gemeldet. Nach ersten Erkenntnissen handelt es sich um Betrug. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 10.04.2026 um 09:45 Uhr kam es in der Bahnhofstraße 42 zu Betrug (§ 263 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: männlich.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 22.04.2026 gegen 08:18 Uhr wurde der Polizei ein Vorfall in der Gartenstraße 54 gemeldet. Nach ersten Erkenntnissen handelt es sich um Raub. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 22.04.2026 um 08:18 Uhr kam es in der Gartenstraße 54 zu Raub (§ 249 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: Kapuze.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 28.03.2026 gegen 05:12 Uhr wurde der Polizei ein Vorfall in der Bahnhofstraße 35 gemeldet. Nach ersten Erkenntnissen handelt es sich um Sachbeschädigung. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 28.03.2026 um 05:12 Uhr kam es in der Bahnhofstraße 35 zu Sachbeschädigung (§ 303 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: drei bislang unbekannte Täter.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 18.04.2026 gegen 06:19 Uhr wurde der Polizei ein Vorfall in der Industriestraße 60 gemeldet. Nach ersten Erkenntnissen handelt es sich um Einbruch. Zeugen machten widersprüchliche Angaben zum Tatablauf. Mehrere Personen wurden am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 18.04.2026 um 06:19 Uhr kam es in der Industriestraße 60 zu Einbruch (§ 243 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: zwei männliche Personen.
Berichtszusammenfassung,mittel,"Fasse den folgenden Polizeibericht in drei Sätzen zusammen. Nenne Tatzeit, Tatort, Tatbestand und Täterbeschreibung.",Am 20.03.2026 gegen 17:35 Uhr wurde der Polizei ein Vorfall in der Marktplatz 25 gemeldet. Nach ersten Erkenntnissen handelt es sich um Sachbeschädigung. Zeugen machten widersprüchliche Angaben zum Tatablauf. Eine einzelne Person wurde am Tatort gesehen. Die Polizei traf kurze Zeit später ein und leitete Maßnahmen ein.,Am 20.03.2026 um 17:35 Uhr kam es in der Marktplatz 25 zu Sachbeschädigung (§ 303 StGB). Die Polizei stellte den Sachverhalt vor Ort fest und leitete Maßnahmen ein. Die Täterbeschreibung lautet: Kapuze.
